iter	Passed	Remaining
0	7	7826
1	14	7130
2	20	6853
3	26	6641
4	33	6603
5	39	6526
6	45	6472
7	51	6402
8	57	6381
9	64	6355
10	70	6353
11	76	6339
12	81	6214
13	88	6201
14	94	6188
15	100	6172
16	106	6163
17	113	6165
18	119	6153
19	125	6143
20	131	6140
21	138	6142
22	144	6136
23	150	6129
24	157	6130
25	163	6123
26	169	6110
27	175	6093
28	181	6078
29	187	6064
30	193	6058
31	199	6045
32	205	6035
33	212	6024
34	219	6063
35	226	6058
36	232	6048
37	238	6034
38	244	6027
39	251	6024
40	257	6014
41	263	6005
42	269	5997
43	275	5990
44	281	5983
45	288	5976
46	294	5966
47	300	5961
48	306	5950
49	313	5949
50	319	5940
51	325	5932
52	331	5924
53	337	5913
54	343	5904
55	349	5898
56	356	5890
57	362	5887
58	368	5879
59	374	5872
60	380	5864
61	387	5856
62	393	5851
63	399	5842
64	405	5836
65	411	5829
66	418	5824
67	424	5815
68	430	5809
69	436	5801
70	442	5794
71	449	5787
72	455	5779
73	461	5772
74	467	5764
75	473	5754
76	479	5747
77	485	5739
78	491	5732
79	497	5725
80	503	5716
81	509	5708
82	516	5704
83	522	5697
84	528	5690
85	534	5683
86	540	5677
87	547	5673
88	554	5672
89	560	5667
90	567	5665
91	573	5664
92	580	5661
93	586	5656
94	593	5657
95	600	5654
96	606	5646
97	612	5640
98	619	5635
99	625	5631
100	631	5623
101	637	5616
102	644	5609
103	650	5600
104	656	5594
105	662	5588
106	668	5582
107	675	5577
108	681	5570
109	687	5563
110	693	5553
111	699	5544
112	705	5538
113	711	5530
114	717	5522
115	723	5515
116	729	5506
117	735	5498
118	741	5491
119	748	5488
120	754	5479
121	760	5472
122	766	5465
123	772	5457
124	778	5450
125	784	5442
126	790	5437
127	797	5431
128	803	5425
129	809	5420
130	816	5417
131	823	5412
132	829	5405
133	835	5397
134	840	5388
135	847	5381
136	853	5373
137	859	5366
138	865	5358
139	871	5351
140	877	5344
141	883	5337
142	889	5330
143	895	5324
144	901	5316
145	908	5311
146	914	5305
147	920	5298
148	927	5294
149	933	5288
150	939	5281
151	945	5275
152	951	5268
153	957	5260
154	963	5254
155	970	5248
156	976	5242
157	982	5234
158	988	5226
159	994	5219
160	1000	5212
161	1006	5204
162	1012	5196
163	1018	5191
164	1024	5183
165	1030	5175
166	1036	5169
167	1042	5161
168	1048	5154
169	1054	5148
170	1060	5142
171	1066	5136
172	1073	5129
173	1079	5124
174	1085	5117
175	1091	5111
176	1098	5108
177	1104	5102
178	1111	5097
179	1117	5090
180	1123	5085
181	1129	5077
182	1135	5070
183	1141	5063
184	1148	5058
185	1154	5051
186	1160	5046
187	1166	5039
188	1172	5032
189	1178	5025
190	1185	5019
191	1191	5013
192	1197	5007
193	1203	5000
194	1209	4993
195	1215	4987
196	1222	4981
197	1228	4974
198	1234	4967
199	1240	4960
200	1246	4955
201	1252	4948
202	1258	4942
203	1264	4935
204	1270	4928
205	1277	4922
206	1283	4915
207	1291	4916
208	1300	4922
209	1309	4924
210	1317	4925
211	1325	4926
212	1331	4919
213	1337	4912
214	1343	4907
215	1350	4900
216	1356	4893
217	1362	4886
218	1368	4879
219	1374	4872
220	1380	4865
221	1386	4858
222	1392	4852
223	1398	4846
224	1404	4839
225	1411	4832
226	1417	4826
227	1423	4819
228	1429	4813
229	1435	4806
230	1441	4800
231	1448	4793
232	1453	4786
233	1459	4778
234	1465	4771
235	1472	4765
236	1478	4758
237	1484	4752
238	1490	4746
239	1496	4739
240	1502	4732
241	1508	4725
242	1514	4719
243	1521	4712
244	1527	4706
245	1533	4700
246	1540	4694
247	1546	4687
248	1551	4680
249	1558	4674
250	1564	4668
251	1570	4662
252	1577	4657
253	1583	4650
254	1589	4643
255	1595	4636
256	1601	4630
257	1607	4623
258	1613	4616
259	1619	4610
260	1625	4603
261	1631	4597
262	1638	4590
263	1644	4583
264	1650	4577
265	1656	4570
266	1662	4564
267	1668	4557
268	1674	4550
269	1681	4545
270	1687	4538
271	1693	4531
272	1699	4525
273	1705	4519
274	1711	4512
275	1717	4506
276	1723	4499
277	1729	4492
278	1735	4486
279	1742	4479
280	1748	4472
281	1754	4466
282	1760	4459
283	1766	4452
284	1772	4445
285	1777	4438
286	1783	4431
287	1790	4425
288	1796	4418
289	1802	4412
290	1808	4405
291	1814	4399
292	1820	4392
293	1827	4387
294	1833	4380
295	1839	4374
296	1845	4367
297	1851	4361
298	1857	4354
299	1863	4347
300	1869	4341
301	1875	4334
302	1882	4329
303	1888	4323
304	1894	4316
305	1900	4309
306	1906	4302
307	1912	4295
308	1918	4289
309	1924	4283
310	1930	4277
311	1937	4271
312	1941	4262
313	1947	4255
314	1953	4248
315	1959	4242
316	1965	4235
317	1971	4229
318	1977	4222
319	1984	4216
320	1990	4210
321	1996	4203
322	2002	4197
323	2008	4191
324	2014	4184
325	2021	4178
326	2027	4172
327	2033	4165
328	2039	4159
329	2045	4152
330	2051	4146
331	2057	4138
332	2062	4132
333	2069	4125
334	2075	4119
335	2081	4113
336	2087	4107
337	2093	4101
338	2099	4094
339	2106	4088
340	2112	4081
341	2118	4075
342	2124	4068
343	2130	4062
344	2136	4055
345	2142	4049
346	2148	4042
347	2154	4036
348	2160	4029
349	2166	4023
350	2172	4017
351	2178	4010
352	2184	4004
353	2190	3997
354	2196	3991
355	2202	3985
356	2209	3978
357	2215	3972
358	2221	3965
359	2227	3959
360	2233	3953
361	2239	3947
362	2245	3940
363	2251	3934
364	2257	3927
365	2263	3921
366	2269	3914
367	2275	3907
